A,B
1.14223878456,5461
1.05205419057,10714
1.15330669987,7307
1.21488028496,4371
1.41006183022,6340
1.16117900995,12437
1.00754699266,4691
0.940961400031,3919
1.02884962705,2982
1.06381018063,3254
1.13806407125,4265
1.37160966651,3949
0.981415400281,7575
1.0246171503,7216
0.968373406051,4349
1.32811840799,6212
1.229618093,6303
1.28735907722,4188
0.997682223615,4058
1.18420033544,10412
0.893697088021,5394
1.0672705455,3262
1.18510105143,3280
1.09969918868,4722
1.1319692001,4436
1.13066098211,3666
1.03658872646,4654
0.992304511758,4147
1.65234693889,4122
1.00397283855,4326
1.11391895749,4529
0.955072487652,6255
1.2386614794,3588
1.17387373657,3051
1.16788445817,
1.08343765058,
0.968858570309,
1.17209177412,
1.19640263272,
1.00841393741,
1.04433129949,
1.096581643,
1.17528033527,
1.13154554832,
0.940458587979,
1.04875054473,
1.06393077714,
0.175208105766,
1.35488315135,
1.30744766822,
0.894293620651,
1.10592798769,
1.19782488426,
1.05395191733,
1.17178053799,
1.12407154557,
1.13074656135,
1.12197291794,
1.34799013232,
1.11164606686,
1.43438496008,
1.16109972755,
1.31800639345,
1.10483146083,
1.27889160295,
1.0816700902,
1.0050569339,
1.13297381772,
1.35946242157,
0.998601091862,
1.24735296965,
1.09847748781,
0.990140387898,
1.0164242008,
1.283346731,
1.34656589745,
1.45336178837,
1.35904378903,
1.24172265454,
1.28938771792,
1.08415240569,
1.32333456353,
1.12498030023,
1.19328175285,
