A,B
1.12866523022,5461
0.928673738472,10714
1.12835548627,7307
1.29158043963,4371
0.993959814838,6340
1.24845742225,12437
1.29594796902,4691
1.22100739278,3919
1.11023864794,2982
1.33194931132,3254
1.1594099498,4265
1.0937785169,3949
1.08782048375,7575
1.26499572001,7216
1.00895043947,4349
1.14121133635,6212
1.16943901465,6303
1.17662985288,4188
1.18910319939,4058
1.1262447864,10412
1.17780592803,5394
1.34242709176,3262
1.06983321607,3280
1.96211749034,4722
0.976220921667,4436
1.59759428007,3666
1.16018306453,4654
1.3213202511,4147
1.09149226702,4122
1.11412580137,4326
1.09574089057,4529
0.938317239344,6255
1.30423757635,3588
1.23957468149,3051
1.07622393342,
1.11115597729,
1.306288689,
1.00841393741,
1.26681225857,
1.00804719016,
1.10357386,
1.1489178586,
1.20784854575,
1.05906104277,
1.06528808362,
1.13924246185,
0.955395505252,
1.31562783817,
0.874351094626,
0.988731671124,
1.13024094886,
1.2422931797,
0.994617882006,
1.03341029903,
0.919749316974,
1.09934163531,
1.25570749915,
0.998567756096,
1.13093229008,
1.11406249392,
1.09678917217,
1.01699258459,
1.2697492739,
1.16189246042,
1.06221649507,
1.12240840348,
1.19260902178,
1.17729438555,
1.13133355637,
1.08786433149,
1.06003245409,
0.951157588676,
1.14375004984,
1.36569455573,
1.11357478542,
1.19540474932,
1.07226458657,
1.02713490008,
1.10392566291,
